tf,date,open,high,low,close,volume,vwap
5m,2026-06-02 09:15:00+05:30,420.05,424.2,388.75,420.2,187265,411.05
5m,2026-06-02 09:20:00+05:30,420.2,427.4,409.7,419.15,51220,412.703747615154
5m,2026-06-02 09:25:00+05:30,419.15,433.45,412.35,416.75,34190,413.72518474374255
5m,2026-06-02 09:30:00+05:30,416.75,427.75,407.4,423.7,36920,414.42775911540343
5m,2026-06-02 09:35:00+05:30,423.7,435.0,419.95,427.5,40235,415.9293199554069
5m,2026-06-02 09:40:00+05:30,427.5,434.4,410.4,429.45,36985,416.7727020668795
5m,2026-06-02 09:45:00+05:30,429.45,430.0,411.0,418.7,35100,417.03286858727466
5m,2026-06-02 09:50:00+05:30,418.7,439.0,413.0,438.2,61815,418.698434560602
5m,2026-06-02 09:55:00+05:30,438.2,450.0,433.0,445.0,57265,421.2355020225079
5m,2026-06-02 10:00:00+05:30,445.0,446.0,435.5,444.0,35230,422.49483925549913
5m,2026-06-02 10:05:00+05:30,444.0,446.0,425.25,427.85,56420,423.43467413267575
5m,2026-06-02 10:10:00+05:30,427.85,431.6,417.55,418.75,32695,423.395296014068
5m,2026-06-02 10:15:00+05:30,418.75,438.3,403.5,438.0,44265,423.59520472657323
5m,2026-06-02 10:20:00+05:30,438.0,478.5,434.25,468.75,47125,425.89343325889024
5m,2026-06-02 10:25:00+05:30,468.75,488.3,465.3,478.75,38935,428.41629768809736
5m,2026-06-02 10:30:00+05:30,478.75,484.5,456.0,463.35,25870,429.6612073740011
5m,2026-06-02 10:35:00+05:30,463.35,468.6,453.95,466.65,15015,430.2607925407925
5m,2026-06-02 10:40:00+05:30,466.65,476.7,464.5,469.5,8905,430.6818149201712
5m,2026-06-02 10:45:00+05:30,469.5,470.1,450.15,452.5,13130,431.0932091755621
5m,2026-06-02 10:50:00+05:30,452.5,458.85,427.65,433.2,27300,431.3646048866388
5m,2026-06-02 10:55:00+05:30,433.2,435.0,415.05,429.45,32630,431.1917910975869
5m,2026-06-02 11:00:00+05:30,429.45,440.1,424.35,429.95,18135,431.19711311589174
5m,2026-06-02 11:05:00+05:30,429.95,437.0,424.45,424.45,17160,431.1509881422925
5m,2026-06-02 11:10:00+05:30,424.45,445.0,424.45,442.85,8515,431.2065766070021
5m,2026-06-02 11:15:00+05:30,442.85,442.85,429.45,442.0,10335,431.27982268555644
5m,2026-06-02 11:20:00+05:30,442.0,479.5,442.0,479.5,37830,432.6170890689995
5m,2026-06-02 11:25:00+05:30,479.5,479.5,451.5,465.8,20735,433.2802815421788
5m,2026-06-02 11:30:00+05:30,465.8,468.0,456.05,457.6,5135,433.4153986870714
5m,2026-06-02 11:35:00+05:30,457.6,458.9,420.9,421.55,26975,433.4247325631151
5m,2026-06-02 11:40:00+05:30,421.55,440.95,421.55,428.55,12935,433.38777932117404
5m,2026-06-02 11:45:00+05:30,428.55,440.0,424.2,430.0,27365,433.33849166617586
5m,2026-06-02 11:50:00+05:30,430.0,439.65,430.0,433.0,2795,433.34071006148906
5m,2026-06-02 11:55:00+05:30,433.0,437.3,421.0,425.0,5005,433.3156090999474
5m,2026-06-02 12:00:00+05:30,425.0,431.7,414.0,424.25,12155,433.20744051062513
5m,2026-06-02 12:05:00+05:30,424.25,434.0,415.9,434.0,9945,433.1614609018101
5m,2026-06-02 12:10:00+05:30,434.0,434.0,413.2,416.9,13390,433.0237602720317
5m,2026-06-02 12:15:00+05:30,416.9,426.0,415.35,420.0,7800,432.9388263439347
5m,2026-06-02 12:20:00+05:30,420.0,423.85,415.0,418.45,29900,432.58953360768174
5m,2026-06-02 12:25:00+05:30,418.45,422.95,411.55,414.35,10985,432.43971584937117
5m,2026-06-02 12:30:00+05:30,414.35,476.0,411.0,459.05,54600,433.1491178815293
5m,2026-06-02 12:35:00+05:30,459.05,469.0,452.05,465.45,22750,433.6677117374728
5m,2026-06-02 12:40:00+05:30,465.45,495.8,463.8,494.0,29900,434.835052883656
5m,2026-06-02 12:45:00+05:30,494.0,558.0,494.0,553.05,127140,443.7421090909091
5m,2026-06-02 12:50:00+05:30,553.05,570.6,548.0,558.0,55965,448.0779755916189
5m,2026-06-02 12:55:00+05:30,558.0,586.35,553.75,579.45,35490,450.99622762421495
5m,2026-06-02 13:00:00+05:30,579.45,580.0,559.0,576.2,23465,452.8300417928868
5m,2026-06-02 13:05:00+05:30,576.2,586.35,568.7,579.95,30355,455.2484464617289
5m,2026-06-02 13:10:00+05:30,579.95,614.8,573.15,600.0,50830,459.64764226992315
5m,2026-06-02 13:15:00+05:30,600.0,606.95,593.0,595.35,42900,463.21498098168274
5m,2026-06-02 13:20:00+05:30,595.35,609.0,585.0,609.0,7150,463.80273264306305
5m,2026-06-02 13:25:00+05:30,609.0,621.6,600.95,620.0,32110,466.6294141521759
5m,2026-06-02 13:30:00+05:30,620.0,644.0,620.0,637.05,64610,472.71746532233425
5m,2026-06-02 13:35:00+05:30,637.05,637.05,612.75,615.0,23400,474.6569519329353
