tf,date,open,high,low,close,volume,vwap
5m,2026-06-03 09:15:00+05:30,103.2,234.4,103.2,230.45,7724795,189.35
5m,2026-06-03 09:20:00+05:30,230.45,245.0,228.15,235.55,2428140,200.5624520643538
5m,2026-06-03 09:25:00+05:30,235.55,258.8,232.6,243.8,2111720,208.22515762435498
5m,2026-06-03 09:30:00+05:30,243.8,267.65,236.2,266.5,1991860,215.0095006329855
5m,2026-06-03 09:35:00+05:30,266.5,270.0,248.1,254.4,1342250,218.66574346858016
5m,2026-06-03 09:40:00+05:30,254.4,265.0,250.75,255.1,743665,220.4078749406708
5m,2026-06-03 09:45:00+05:30,255.1,264.9,246.95,252.0,673660,221.7621869262171
5m,2026-06-03 09:50:00+05:30,252.0,271.45,235.0,271.45,1535365,224.86891059668008
5m,2026-06-03 09:55:00+05:30,270.4,280.8,250.35,262.1,1695525,228.18072347497423
5m,2026-06-03 10:00:00+05:30,262.1,267.3,241.65,241.65,719160,228.93600713261162
5m,2026-06-03 10:05:00+05:30,241.65,258.85,239.0,258.85,934960,229.93057215923707
5m,2026-06-03 10:10:00+05:30,258.85,279.0,258.7,274.25,995215,231.7004895183643
5m,2026-06-03 10:15:00+05:30,274.25,284.7,253.25,255.85,1017835,233.10075978726684
5m,2026-06-03 10:20:00+05:30,255.6,260.4,244.35,258.7,756925,233.75679137410916
5m,2026-06-03 10:25:00+05:30,258.7,266.7,250.0,263.15,932295,234.71056415620288
5m,2026-06-03 10:30:00+05:30,263.3,290.0,257.5,283.55,1045005,236.3695804622233
5m,2026-06-03 10:35:00+05:30,283.55,287.35,264.4,272.5,644865,237.27640534799093
5m,2026-06-03 10:40:00+05:30,272.5,277.75,261.65,277.0,368550,237.74081928537524
5m,2026-06-03 10:45:00+05:30,277.0,282.2,265.95,267.45,418470,238.24938449643986
5m,2026-06-03 10:50:00+05:30,266.8,279.45,264.9,265.05,301080,238.584085370881
5m,2026-06-03 10:55:00+05:30,265.05,284.3,265.05,278.65,426270,239.1377335884511
5m,2026-06-03 11:00:00+05:30,278.65,288.8,269.3,281.35,471640,239.79300351500353
5m,2026-06-03 11:05:00+05:30,281.35,298.6,281.0,293.25,574860,240.77806423191538
5m,2026-06-03 11:10:00+05:30,293.25,296.75,284.55,293.35,410540,241.46678557877482
5m,2026-06-03 11:15:00+05:30,293.35,294.0,273.4,279.35,347490,241.9297312983237
