time,nifty_close,atm_strike,ce_itm2,ce_itm1,ce_atm,ce_otm1,ce_otm2,pe_itm2,pe_itm1,pe_atm,pe_otm1,pe_otm2
2026-06-09 09:15:00+05:30,23235.15,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 09:20:00+05:30,23237.9,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 09:25:00+05:30,23225.05,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 09:30:00+05:30,23239.5,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 09:35:00+05:30,23213.05,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 09:40:00+05:30,23196.8,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 09:45:00+05:30,23184.9,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 09:50:00+05:30,23212.95,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 09:55:00+05:30,23188.35,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 10:00:00+05:30,23168.25,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 10:05:00+05:30,23171.05,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 10:10:00+05:30,23167.75,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 10:15:00+05:30,23170.0,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 10:20:00+05:30,23158.15,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 10:25:00+05:30,23162.35,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 10:30:00+05:30,23158.3,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 10:35:00+05:30,23151.6,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 10:40:00+05:30,23164.55,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 10:45:00+05:30,23131.4,23100,23000,23050,23100,23150,23200,23200,23150,23100,23050,23000
2026-06-09 10:50:00+05:30,23155.2,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 10:55:00+05:30,23154.55,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 11:00:00+05:30,23154.85,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 11:05:00+05:30,23151.4,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 11:10:00+05:30,23146.0,23100,23000,23050,23100,23150,23200,23200,23150,23100,23050,23000
2026-06-09 11:15:00+05:30,23154.85,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 11:20:00+05:30,23113.1,23100,23000,23050,23100,23150,23200,23200,23150,23100,23050,23000
2026-06-09 11:25:00+05:30,23132.15,23100,23000,23050,23100,23150,23200,23200,23150,23100,23050,23000
2026-06-09 11:30:00+05:30,23137.4,23100,23000,23050,23100,23150,23200,23200,23150,23100,23050,23000
2026-06-09 11:35:00+05:30,23157.65,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 11:40:00+05:30,23150.85,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 11:45:00+05:30,23174.65,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 11:50:00+05:30,23174.6,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 11:55:00+05:30,23181.2,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 12:00:00+05:30,23185.1,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 12:05:00+05:30,23178.05,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 12:10:00+05:30,23187.65,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 12:15:00+05:30,23198.6,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 12:20:00+05:30,23198.5,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 12:25:00+05:30,23205.3,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 12:30:00+05:30,23219.35,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 12:35:00+05:30,23217.6,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 12:40:00+05:30,23207.4,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 12:45:00+05:30,23203.25,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 12:50:00+05:30,23199.25,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 12:55:00+05:30,23181.4,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 13:00:00+05:30,23193.65,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 13:05:00+05:30,23187.3,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 13:10:00+05:30,23208.75,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 13:15:00+05:30,23203.85,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 13:20:00+05:30,23200.0,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 13:25:00+05:30,23204.65,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 13:30:00+05:30,23200.65,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 13:35:00+05:30,23215.4,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 13:40:00+05:30,23218.65,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 13:45:00+05:30,23206.65,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 13:50:00+05:30,23192.95,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 13:55:00+05:30,23189.65,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 14:00:00+05:30,23187.0,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 14:05:00+05:30,23208.0,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 14:10:00+05:30,23206.05,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 14:15:00+05:30,23206.05,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 14:20:00+05:30,23195.15,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 14:25:00+05:30,23216.85,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
2026-06-09 14:30:00+05:30,23216.5,23200,23100,23150,23200,23250,23300,23300,23250,23200,23150,23100
