tf,date,open,high,low,close,volume
5m,2026-05-07 09:15:00+05:30,42.55,53.4,41.4,53.3,10920
5m,2026-05-07 09:20:00+05:30,54.3,57.0,52.0,53.75,3640
5m,2026-05-07 09:25:00+05:30,53.75,57.1,51.9,53.55,4030
5m,2026-05-07 09:30:00+05:30,53.55,53.8,49.8,49.8,1495
5m,2026-05-07 09:35:00+05:30,49.8,50.4,48.9,50.35,1365
5m,2026-05-07 09:40:00+05:30,50.35,50.35,45.95,46.45,4030
5m,2026-05-07 09:45:00+05:30,46.45,49.15,46.4,48.95,1885
5m,2026-05-07 09:50:00+05:30,48.95,53.8,48.95,53.75,2015
5m,2026-05-07 09:55:00+05:30,53.75,53.75,51.0,51.0,1560
5m,2026-05-07 10:00:00+05:30,51.0,51.0,47.85,48.5,2665
5m,2026-05-07 10:05:00+05:30,48.5,55.55,48.5,55.0,1560
5m,2026-05-07 10:10:00+05:30,55.0,56.5,52.8,54.5,2145
5m,2026-05-07 10:15:00+05:30,54.5,54.7,51.0,51.0,2730
5m,2026-05-07 10:20:00+05:30,51.0,51.8,50.3,50.9,1365
5m,2026-05-07 10:25:00+05:30,50.9,51.5,48.85,50.7,2080
5m,2026-05-07 10:30:00+05:30,49.85,49.85,48.6,48.6,2535
5m,2026-05-07 10:35:00+05:30,48.6,50.8,48.6,50.8,910
5m,2026-05-07 10:40:00+05:30,50.8,50.8,48.65,49.25,2145
5m,2026-05-07 10:45:00+05:30,49.25,50.75,48.05,49.5,1625
5m,2026-05-07 10:50:00+05:30,49.5,52.45,49.5,52.25,910
5m,2026-05-07 10:55:00+05:30,52.25,53.7,51.8,52.05,3640
5m,2026-05-07 11:00:00+05:30,52.05,53.35,51.8,53.25,1235
5m,2026-05-07 11:05:00+05:30,53.25,56.75,53.0,56.0,4225
5m,2026-05-07 11:10:00+05:30,55.25,56.8,55.0,56.05,1365
5m,2026-05-07 11:15:00+05:30,56.05,56.8,54.15,56.75,6500
5m,2026-05-07 11:20:00+05:30,56.75,61.95,56.75,58.55,6760
5m,2026-05-07 11:25:00+05:30,58.55,61.2,58.55,59.75,650
5m,2026-05-07 11:30:00+05:30,59.75,59.75,51.3,55.7,3315
5m,2026-05-07 11:35:00+05:30,55.7,58.2,55.7,58.2,715
5m,2026-05-07 11:40:00+05:30,58.2,62.15,57.85,62.15,715
5m,2026-05-07 11:45:00+05:30,62.15,64.0,59.1,59.6,1365
5m,2026-05-07 11:50:00+05:30,59.6,59.6,55.2,55.2,715
5m,2026-05-07 11:55:00+05:30,55.2,55.45,52.3,52.3,195
5m,2026-05-07 12:00:00+05:30,52.3,52.3,49.2,50.8,1885
5m,2026-05-07 12:05:00+05:30,50.8,50.8,49.65,49.95,975
5m,2026-05-07 12:10:00+05:30,49.95,50.0,49.0,49.0,845
