time,nifty_close,atm_strike,ce_itm2,ce_itm1,ce_atm,ce_otm1,ce_otm2,pe_itm2,pe_itm1,pe_atm,pe_otm1,pe_otm2
2026-05-21 09:15:00+05:30,23768.45,23800,23700,23750,23800,23850,23900,23900,23850,23800,23750,23700
2026-05-21 09:20:00+05:30,23775.05,23800,23700,23750,23800,23850,23900,23900,23850,23800,23750,23700
2026-05-21 09:25:00+05:30,23758.1,23800,23700,23750,23800,23850,23900,23900,23850,23800,23750,23700
2026-05-21 09:30:00+05:30,23738.3,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 09:35:00+05:30,23768.95,23800,23700,23750,23800,23850,23900,23900,23850,23800,23750,23700
2026-05-21 09:40:00+05:30,23793.15,23800,23700,23750,23800,23850,23900,23900,23850,23800,23750,23700
2026-05-21 09:45:00+05:30,23785.55,23800,23700,23750,23800,23850,23900,23900,23850,23800,23750,23700
2026-05-21 09:50:00+05:30,23807.05,23800,23700,23750,23800,23850,23900,23900,23850,23800,23750,23700
2026-05-21 09:55:00+05:30,23768.35,23800,23700,23750,23800,23850,23900,23900,23850,23800,23750,23700
2026-05-21 10:00:00+05:30,23781.85,23800,23700,23750,23800,23850,23900,23900,23850,23800,23750,23700
2026-05-21 10:05:00+05:30,23763.6,23800,23700,23750,23800,23850,23900,23900,23850,23800,23750,23700
2026-05-21 10:10:00+05:30,23767.45,23800,23700,23750,23800,23850,23900,23900,23850,23800,23750,23700
2026-05-21 10:15:00+05:30,23776.5,23800,23700,23750,23800,23850,23900,23900,23850,23800,23750,23700
2026-05-21 10:20:00+05:30,23770.6,23800,23700,23750,23800,23850,23900,23900,23850,23800,23750,23700
2026-05-21 10:25:00+05:30,23780.0,23800,23700,23750,23800,23850,23900,23900,23850,23800,23750,23700
2026-05-21 10:30:00+05:30,23762.25,23800,23700,23750,23800,23850,23900,23900,23850,23800,23750,23700
2026-05-21 10:35:00+05:30,23736.35,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 10:40:00+05:30,23764.8,23800,23700,23750,23800,23850,23900,23900,23850,23800,23750,23700
2026-05-21 10:45:00+05:30,23748.95,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 10:50:00+05:30,23748.85,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 10:55:00+05:30,23723.75,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 11:00:00+05:30,23713.4,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 11:05:00+05:30,23717.4,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 11:10:00+05:30,23697.05,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 11:15:00+05:30,23678.65,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 11:20:00+05:30,23713.6,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 11:25:00+05:30,23742.55,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 11:30:00+05:30,23735.05,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 11:35:00+05:30,23729.9,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 11:40:00+05:30,23731.15,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 11:45:00+05:30,23723.55,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 11:50:00+05:30,23726.7,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 11:55:00+05:30,23716.75,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 12:00:00+05:30,23732.05,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 12:05:00+05:30,23734.0,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 12:10:00+05:30,23705.05,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 12:15:00+05:30,23708.5,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 12:20:00+05:30,23692.15,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 12:25:00+05:30,23663.8,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 12:30:00+05:30,23669.6,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 12:35:00+05:30,23632.35,23600,23500,23550,23600,23650,23700,23700,23650,23600,23550,23500
2026-05-21 12:40:00+05:30,23640.1,23600,23500,23550,23600,23650,23700,23700,23650,23600,23550,23500
2026-05-21 12:45:00+05:30,23630.9,23600,23500,23550,23600,23650,23700,23700,23650,23600,23550,23500
2026-05-21 12:50:00+05:30,23641.65,23600,23500,23550,23600,23650,23700,23700,23650,23600,23550,23500
2026-05-21 12:55:00+05:30,23624.2,23600,23500,23550,23600,23650,23700,23700,23650,23600,23550,23500
2026-05-21 13:00:00+05:30,23620.0,23600,23500,23550,23600,23650,23700,23700,23650,23600,23550,23500
2026-05-21 13:05:00+05:30,23637.75,23600,23500,23550,23600,23650,23700,23700,23650,23600,23550,23500
2026-05-21 13:10:00+05:30,23640.7,23600,23500,23550,23600,23650,23700,23700,23650,23600,23550,23500
2026-05-21 13:15:00+05:30,23643.4,23600,23500,23550,23600,23650,23700,23700,23650,23600,23550,23500
2026-05-21 13:20:00+05:30,23636.7,23600,23500,23550,23600,23650,23700,23700,23650,23600,23550,23500
2026-05-21 13:25:00+05:30,23631.6,23600,23500,23550,23600,23650,23700,23700,23650,23600,23550,23500
2026-05-21 13:30:00+05:30,23647.35,23600,23500,23550,23600,23650,23700,23700,23650,23600,23550,23500
2026-05-21 13:35:00+05:30,23663.35,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 13:40:00+05:30,23681.35,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 13:45:00+05:30,23665.15,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 13:50:00+05:30,23650.6,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 13:55:00+05:30,23673.35,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 14:00:00+05:30,23648.6,23600,23500,23550,23600,23650,23700,23700,23650,23600,23550,23500
2026-05-21 14:05:00+05:30,23642.7,23600,23500,23550,23600,23650,23700,23700,23650,23600,23550,23500
2026-05-21 14:10:00+05:30,23652.15,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 14:15:00+05:30,23651.55,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 14:20:00+05:30,23672.7,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 14:25:00+05:30,23652.4,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 14:30:00+05:30,23663.6,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 14:35:00+05:30,23663.1,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 14:40:00+05:30,23671.85,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 14:45:00+05:30,23678.3,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 14:50:00+05:30,23686.55,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
2026-05-21 14:55:00+05:30,23679.55,23700,23600,23650,23700,23750,23800,23800,23750,23700,23650,23600
